,Time_Ma,Mean_lithospheric_thickness_km
0,0,83.5839398288
1,1,82.9172354963
2,2,82.8149876918
3,3,82.066213809
4,4,81.9735622973
5,5,82.0713570306
6,6,81.2141231611
7,7,81.0923910242
8,8,81.5205883779
9,9,81.5065730593
10,10,81.0717618579
11,11,82.2949772651
12,12,83.1842689114
13,13,82.5873836979
14,14,82.420828692
15,15,82.2857668262
16,16,80.0016151125
17,17,79.5569861696
18,18,78.7844120947
19,19,78.0555340143
20,20,77.4450933791
21,21,78.058289234
22,22,77.9845861941
23,23,77.6020460426
24,24,77.6272373069
25,25,77.2853297702
26,26,78.904446909
27,27,78.293545104
28,28,78.0486198164
29,29,77.9415645521
30,30,78.1612845066
31,31,78.0628974901
32,32,77.504629657
33,33,77.7409257799
34,34,76.4622172734
35,35,75.8493685959
36,36,75.476521399
37,37,75.3516679569
38,38,74.2745164203
39,39,73.8906570403
40,40,72.4364767081
41,41,71.336232731
42,42,70.5151558758
43,43,71.2201416613
44,44,70.4594409054
45,45,67.7051416772
46,46,68.4745878253
47,47,67.6025522193
48,48,67.4552230382
49,49,66.800929635
50,50,66.6649901295
51,51,65.3066427673
52,52,65.5964193303
53,53,64.2625398897
54,54,63.6193033483
55,55,63.6534197881
56,56,67.1175199592
57,57,66.219467924
58,58,65.2082579651
59,59,65.5824901676
60,60,66.2925541978
61,61,67.876393741
62,62,68.3135086475
63,63,69.0743911431
64,64,69.258632153
65,65,69.8520832957
66,66,70.7830223258
67,67,70.9666305098
68,68,71.8398451633
69,69,71.9723350659
70,70,72.4641025196
71,71,73.0312924292
72,72,72.5426747156
73,73,72.3537281967
74,74,72.1889280096
75,75,72.0558540494
76,76,72.215854012
77,77,72.2642613156
78,78,72.2448706468
79,79,72.6455670137
80,80,72.7900544138
81,81,73.8540992388
82,82,73.9567930572
83,83,73.9244727209
84,84,73.7657300786
85,85,72.9456734387
86,86,75.5009468854
87,87,75.6162595651
88,88,76.2470303249
89,89,76.3087642717
90,90,75.6853864712
91,91,74.7728337823
92,92,74.5199784263
93,93,74.9537272374
94,94,74.5594614553
95,95,74.4955005546
96,96,73.9781608948
97,97,73.8822651541
98,98,74.3128419171
99,99,73.8843458028
100,100,73.5415809563
101,101,72.2308170611
102,102,72.279690268
103,103,71.9086773651
104,104,72.3262143943
105,105,72.0472207368
106,106,71.9404431002
107,107,71.3389566241
108,108,72.0230237374
109,109,71.9759867472
110,110,71.7022900027
111,111,74.7090795574
112,112,75.2399677103
113,113,74.5566070632
114,114,74.2355227562
115,115,74.4273888495
116,116,75.0004470033
117,117,74.7068341031
118,118,74.4428699618
119,119,74.4579099741
120,120,74.6006377296
121,121,74.5883103874
122,122,73.8493936863
123,123,73.6716628442
124,124,73.2479600833
125,125,74.565455283
126,126,77.4456304957
127,127,76.8414441356
128,128,76.70243193
129,129,76.6081133999
130,130,77.110974292
131,131,78.2822115081
132,132,77.7014110269
133,133,78.0769264999
134,134,79.4093492154
135,135,78.5151093421
136,136,80.7082742887
137,137,80.2642274815
138,138,80.2512113686
139,139,80.1869136531
140,140,79.4740375876
141,141,79.5774606392
142,142,79.444653343
143,143,80.215400346
144,144,81.8017107599
145,145,82.4642330524
146,146,85.7310070359
147,147,85.3398631812
148,148,86.1783734356
149,149,86.5767766755
150,150,87.6939783835
151,151,89.2955514893
152,152,89.0364308017
153,153,89.0055116029
154,154,90.4516022488
155,155,90.6370690891
156,156,90.4906562638
157,157,90.801374721
158,158,90.7533810365
159,159,90.7114106497
160,160,90.8204046469
161,161,91.3748669326
162,162,91.6983237218
163,163,91.6282189569
164,164,91.3300352927
165,165,91.313851233
166,166,91.646664076
167,167,91.5833874899
168,168,91.0546667555
169,169,90.9646186486
170,170,90.6494730986
171,171,90.8262376605
172,172,91.1583875088
173,173,91.0382312114
174,174,90.5130633386
175,175,90.2847046006
176,176,89.5172283638
177,177,89.3539857152
178,178,89.7880394316
179,179,90.3934405573
180,180,90.6663516923
181,181,91.9838510425
182,182,91.6951440499
183,183,92.0344213339
184,184,91.6463987118
185,185,91.2097734704
186,186,90.8132514097
187,187,90.2736877382
188,188,90.5075931992
189,189,90.0692131825
190,190,89.6630417066
191,191,90.0365957052
192,192,89.2140995017
193,193,89.1046986505
194,194,88.4801552031
195,195,88.6169257143
196,196,88.2735490974
197,197,87.8358328655
198,198,88.1528865641
199,199,89.7309372686
200,200,88.3204206038
201,201,88.3442380926
202,202,88.3823422773
203,203,87.9467663195
204,204,87.2336842482
205,205,87.674575174
206,206,89.4169865019
207,207,88.8032014832
208,208,88.5217002693
209,209,87.5097235529
210,210,87.0647672778
211,211,86.6051593333
212,212,86.1657105487
213,213,85.705962692
214,214,85.1150821486
215,215,84.6864926054
216,216,84.0840083487
217,217,84.8247866455
218,218,84.4928240726
219,219,84.3391916494
220,220,83.9078717892
221,221,83.8774501191
222,222,83.5331378903
223,223,83.1101944
224,224,82.8777775898
225,225,82.7796071809
226,226,82.6094506429
227,227,82.3779329813
228,228,82.4528692669
229,229,82.0277031537
230,230,81.7687568954
