,Time_Ma,Mean_orthogonal_convergence_rate_cm/yr
0,0,4.53727568507
1,1,4.50975643343
2,2,4.36210428776
3,3,4.3696394973
4,4,4.19236246972
5,5,4.56632508225
6,6,4.46097393807
7,7,4.42688837878
8,8,4.49463766622
9,9,4.61903635801
10,10,4.69995889889
11,11,4.41585141043
12,12,4.36672146379
13,13,4.16455896309
14,14,4.1747239063
15,15,4.37135986845
16,16,4.30128189666
17,17,4.35596511787
18,18,4.36767561176
19,19,4.54278898816
20,20,4.84583895406
21,21,4.90053688973
22,22,4.99504531162
23,23,5.04814706897
24,24,4.98005413293
25,25,5.80373271363
26,26,5.98237066981
27,27,5.68206374874
28,28,5.90114187693
29,29,5.64369659706
30,30,5.51065944408
31,31,5.28136511876
32,32,5.3155939598
33,33,4.70823409263
34,34,4.69052066471
35,35,5.28058434009
36,36,5.11209082549
37,37,5.08676088179
38,38,4.90516590354
39,39,4.94410883583
40,40,4.90821640384
41,41,5.3776125492
42,42,5.39978960293
43,43,5.0982082559
44,44,4.81466214842
45,45,4.69591782107
46,46,4.42106954892
47,47,4.36563905001
48,48,4.95916756337
49,49,4.96813078485
50,50,4.88176834581
51,51,5.03867051137
52,52,5.14642866501
53,53,5.54868090144
54,54,5.7270740115
55,55,5.6997273467
56,56,5.68247245599
57,57,5.85789424652
58,58,5.52734388811
59,59,5.73440748667
60,60,5.79947991036
61,61,5.79543882224
62,62,6.20381640547
63,63,6.40775988615
64,64,6.73990108225
65,65,6.32509876262
66,66,6.64983352673
67,67,6.78755149228
68,68,6.65037081958
69,69,6.65291083424
70,70,6.66647110018
71,71,6.78900533842
72,72,6.85291763606
73,73,6.65398943572
74,74,6.32531727394
75,75,6.36539793108
76,76,6.29823697809
77,77,6.31576269333
78,78,6.31360947183
79,79,6.61549806177
80,80,6.8168837097
81,81,6.87245595917
82,82,6.92227773982
83,83,5.33429626923
84,84,5.50318801878
85,85,5.26012888829
86,86,6.07741396865
87,87,6.08122959713
88,88,6.08972402601
89,89,6.08282330249
90,90,5.90530942772
91,91,6.1058605041
92,92,6.1117682956
93,93,6.11763643314
94,94,6.12324550476
95,95,6.0598010705
96,96,6.07885418913
97,97,6.08861122804
98,98,6.0877339981
99,99,6.09822570402
100,100,7.39956039606
101,101,7.5776184916
102,102,7.56588470958
103,103,7.62884554061
104,104,7.85400440738
105,105,7.68978620223
106,106,7.46695091018
107,107,7.49760527293
108,108,7.56863667123
109,109,7.60991300474
110,110,7.43583332355
111,111,7.91285499565
112,112,7.97336635731
113,113,7.99458858352
114,114,8.02805511329
115,115,8.13489018296
116,116,8.27638564232
117,117,8.31457438004
118,118,8.35134965992
119,119,8.36344084785
120,120,9.29647867897
121,121,10.0670381269
122,122,10.1632855662
123,123,10.3255211944
124,124,10.8067277647
125,125,10.4648343565
126,126,10.6336131079
127,127,10.7981592341
128,128,11.1105618566
129,129,10.9942944906
130,130,10.7854060749
131,131,10.3506902362
132,132,10.3803394957
133,133,10.1898260386
134,134,9.91041095319
135,135,10.5664672518
136,136,10.3861590066
137,137,10.3468837335
138,138,8.70613751317
139,139,8.60718345205
140,140,8.83704443662
141,141,8.65767279317
142,142,8.45905313145
143,143,7.77196187284
144,144,7.71771677489
145,145,7.32830867546
146,146,7.27365922444
147,147,7.60089343511
148,148,7.65729689266
149,149,7.69763579855
150,150,7.59258626691
151,151,6.79908486556
152,152,6.80829987195
153,153,6.62534485223
154,154,4.72742888096
155,155,4.6690330075
156,156,5.43352172277
157,157,5.38247446651
158,158,5.36135381308
159,159,5.43124499243
160,160,4.96642257626
161,161,5.49105371552
162,162,5.50149060477
163,163,5.50553600766
164,164,5.61899164925
165,165,5.85529682821
166,166,5.79313772637
167,167,5.79987514934
168,168,6.35886631834
169,169,6.42853333394
170,170,6.36136470873
171,171,6.36898773818
172,172,6.37213933389
173,173,6.38129535586
174,174,6.38130320096
175,175,6.40179724205
176,176,6.38384775226
177,177,6.06989162037
178,178,6.06783359949
179,179,6.06174382434
180,180,4.97729036708
181,181,4.77700517918
182,182,4.77467712942
183,183,4.77207516754
184,184,4.77858927342
185,185,4.78050371582
186,186,4.77418027488
187,187,4.79783331586
188,188,4.80613940028
189,189,4.79871047668
190,190,4.6735882531
191,191,4.44322942805
192,192,4.43856813091
193,193,4.42305530468
194,194,4.3989587466
195,195,4.38838724482
196,196,4.3706484646
197,197,4.35874883388
198,198,4.3499732587
199,199,4.34232059845
200,200,4.40171098916
201,201,4.48639778095
202,202,4.48340626433
203,203,4.48249540633
204,204,4.4812298456
205,205,4.47043255106
206,206,4.46777449693
207,207,4.46134571926
208,208,4.45417507926
209,209,4.45730662536
210,210,4.3418028476
211,211,4.34463664979
212,212,4.32503198332
213,213,4.3306757091
214,214,4.31419725076
215,215,4.30850443203
216,216,4.31132549518
217,217,4.29899055798
218,218,4.29008130813
219,219,4.28173602481
220,220,4.34842778549
221,221,4.33471502702
222,222,4.3289776061
223,223,4.32377542702
224,224,4.315968387
225,225,4.3082712346
226,226,4.29884160996
227,227,4.29348171918
228,228,4.28992358148
229,229,4.28195538268
230,230,4.97771233347
