,Time_(Ma),Subduction_Area_Flux_(km^2/year)
0,0,2.78885630647
1,1,2.79763226283
2,2,2.72447900526
3,3,2.75537085657
4,4,2.73389542934
5,5,2.97158347
6,6,2.88472915606
7,7,2.89718041762
8,8,2.95606157195
9,9,2.97501592352
10,10,2.96648909162
11,11,2.69892963902
12,12,2.66005847572
13,13,2.75321302971
14,14,2.74268274723
15,15,3.02648414461
16,16,3.03708847107
17,17,2.9757305049
18,18,2.99140034837
19,19,3.09660497032
20,20,3.34216569006
21,21,3.47244280273
22,22,3.53978283109
23,23,3.55056420343
24,24,3.49841198029
25,25,3.94282282358
26,26,3.83384121218
27,27,3.7167926086
28,28,3.83561472845
29,29,3.69204220604
30,30,3.73199811338
31,31,3.68174217093
32,32,3.72287891915
33,33,3.25518869772
34,34,3.54018343729
35,35,3.97057698757
36,36,3.87626093894
37,37,3.74729758413
38,38,3.59936594413
39,39,3.63684294642
40,40,3.47406859174
41,41,3.58147872814
42,42,3.58920006634
43,43,3.49050755256
44,44,3.29408600858
45,45,3.35895172858
46,46,3.16470911483
47,47,3.12175474975
48,48,3.64708464634
49,49,3.61508802795
50,50,3.56532181198
51,51,3.5794835116
52,52,3.97304992452
53,53,4.25802281977
54,54,4.39721904471
55,55,4.36356898832
56,56,4.02752225631
57,57,4.16721711542
58,58,4.02179582486
59,59,4.13807546951
60,60,4.18001543192
61,61,4.18838296931
62,62,4.52391139411
63,63,4.63953360496
64,64,4.90799207916
65,65,4.58182524448
66,66,4.26226443878
67,67,4.33481814158
68,68,4.33728292448
69,69,4.34485432431
70,70,4.36470763708
71,71,4.44990052828
72,72,4.43660862151
73,73,4.31184304782
74,74,4.1101803773
75,75,4.13470656841
76,76,4.49552525908
77,77,4.51140621735
78,78,4.50835059832
79,79,4.72443279492
80,80,4.88748525229
81,81,4.78112797039
82,82,4.80865931153
83,83,3.71345821269
84,84,3.7831072151
85,85,3.76134401922
86,86,4.18456161074
87,87,4.18593678564
88,88,4.18357325196
89,89,4.18299408599
90,90,4.15934285986
91,91,4.17990870921
92,92,4.18114031959
93,93,4.18409594502
94,94,4.18708185758
95,95,4.14336877569
96,96,4.15712606297
97,97,4.16740500895
98,98,4.17739456951
99,99,4.18727814763
100,100,4.96324106188
101,101,5.07560428618
102,102,5.06913802913
103,103,5.11365103177
104,104,5.05110578131
105,105,4.91807294155
106,106,4.7475326605
107,107,4.76290179102
108,108,4.8049739756
109,109,4.84045837093
110,110,4.72641990781
111,111,4.81880136467
112,112,4.83924730363
113,113,4.8540834449
114,114,4.86792431407
115,115,4.91659528587
116,116,5.1224317845
117,117,5.1400775515
118,118,5.15430088775
119,119,5.16437767586
120,120,5.76100446325
121,121,6.16293765749
122,122,6.22270856702
123,123,6.35755559281
124,124,6.65664499059
125,125,6.4696816795
126,126,6.27655957984
127,127,6.4254828814
128,128,6.60638862102
129,129,6.52720647171
130,130,6.19132140588
131,131,5.93547582469
132,132,5.82674422415
133,133,5.76553663997
134,134,5.8218444464
135,135,5.98239067287
136,136,6.0957760868
137,137,6.06423791496
138,138,5.20137980782
139,139,5.14558817772
140,140,5.08857702982
141,141,5.18044811803
142,142,5.07230160888
143,143,4.9737065788
144,144,4.95731401045
145,145,4.70926359486
146,146,4.62128003346
147,147,4.78514768125
148,148,4.80264097715
149,149,4.83338164067
150,150,4.75456144245
151,151,4.76062183522
152,152,4.77046367213
153,153,4.64388291011
154,154,3.32296111764
155,155,3.27167777988
156,156,3.84896469319
157,157,3.80770616139
158,158,3.79916335003
159,159,3.85327090126
160,160,3.509396172
161,161,3.51342829917
162,162,3.52399708436
163,163,3.53650607993
164,164,3.60504070821
165,165,3.75755434498
166,166,3.74016448466
167,167,3.74049528138
168,168,4.09380295789
169,169,4.10371464256
170,170,4.05875112442
171,171,4.05758367351
172,172,4.05676739662
173,173,4.05743887827
174,174,4.06055303227
175,175,4.07279186367
176,176,4.07412337838
177,177,3.8548766843
178,178,3.8561277288
179,179,3.85797012893
180,180,3.16997869508
181,181,3.0884227702
182,182,3.09031181171
183,183,3.0921447761
184,184,3.09387255176
185,185,3.09553023884
186,186,3.09724880126
187,187,3.10232793088
188,188,3.10035947965
189,189,3.09739079709
190,190,3.03657425411
191,191,3.02029553739
192,192,3.02265930024
193,193,3.02571105553
194,194,3.02887415084
195,195,3.02774825254
196,196,3.03756235549
197,197,3.04399703277
198,198,3.04990588793
199,199,3.05583042897
200,200,3.11035971424
201,201,3.11538400417
202,202,3.12304897958
203,203,3.12998894178
204,204,3.13604272667
205,205,3.14040167036
206,206,3.14422180738
207,207,3.14787229683
208,208,3.15145594875
209,209,3.1548872381
210,210,3.08541714791
211,211,3.08715554865
212,212,3.08981362812
213,213,3.09183334153
214,214,3.09357705116
215,215,3.09503482148
216,216,3.09619194897
217,217,3.09701911368
218,218,3.09752012583
219,219,3.09787083975
220,220,3.10599674296
221,221,3.10216205077
222,222,3.10373598578
223,223,3.10509182446
224,224,3.10608148926
225,225,3.10712183884
226,226,3.10855125884
227,227,3.10992846937
228,228,3.11268977552
229,229,3.11557229495
230,230,3.67596755896
