,Time_(Ma),Subduction_Volume_Flux_(m^3/year)
0,0,2.32430768121e+11
1,1,2.34561612613e+11
2,2,2.28447531309e+11
3,3,2.27636823666e+11
4,4,2.25590399575e+11
5,5,2.4392884463e+11
6,6,2.36537755861e+11
7,7,2.38618441969e+11
8,8,2.46486864105e+11
9,9,2.44863602212e+11
10,10,2.44265727948e+11
11,11,2.22250379753e+11
12,12,2.24981202264e+11
13,13,2.28371062463e+11
14,14,2.2627763287e+11
15,15,2.48067063209e+11
16,16,2.46044000721e+11
17,17,2.39331708723e+11
18,18,2.38295639158e+11
19,19,2.45407565258e+11
20,20,2.62417579799e+11
21,21,2.75237082604e+11
22,22,2.8173595379e+11
23,23,2.84241857081e+11
24,24,2.78800802755e+11
25,25,3.28832336659e+11
26,26,3.07778167901e+11
27,27,2.93921723109e+11
28,28,2.99181916424e+11
29,29,2.88681919801e+11
30,30,2.94778851599e+11
31,31,2.92843396743e+11
32,32,2.94998816674e+11
33,33,2.63263403422e+11
34,34,2.87978388473e+11
35,35,3.18313141507e+11
36,36,3.08700066037e+11
37,37,2.92626375236e+11
38,38,2.78066219854e+11
39,39,2.78131612096e+11
40,40,2.60967680795e+11
41,41,2.59386250604e+11
42,42,2.5159052247e+11
43,43,2.47048757701e+11
44,44,2.25711203764e+11
45,45,2.23982395651e+11
46,46,2.14924581567e+11
47,47,2.11344304163e+11
48,48,2.42027310728e+11
49,49,2.34176265763e+11
50,50,2.27330119088e+11
51,51,2.22914528139e+11
52,52,2.49492675783e+11
53,53,2.63604920121e+11
54,54,2.69230660398e+11
55,55,2.60190908994e+11
56,56,2.38859557443e+11
57,57,2.37233737612e+11
58,58,2.18615827003e+11
59,59,2.31687503722e+11
60,60,2.4275141399e+11
61,61,2.63163623583e+11
62,62,2.95954249127e+11
63,63,3.06879249504e+11
64,64,3.20056597761e+11
65,65,3.10590251418e+11
66,66,2.93629750262e+11
67,67,3.03461684403e+11
68,68,3.10066326267e+11
69,69,3.13718780805e+11
70,70,3.20062107277e+11
71,71,3.29758599658e+11
72,72,3.31166441367e+11
73,73,3.25413901853e+11
74,74,3.15907827381e+11
75,75,3.20357487971e+11
76,76,3.50878468146e+11
77,77,3.55585233627e+11
78,78,3.57547992416e+11
79,79,3.77489984993e+11
80,80,3.92708875457e+11
81,81,3.95283328802e+11
82,82,4.00078075616e+11
83,83,2.92491254917e+11
84,84,3.02682817989e+11
85,85,2.98533948534e+11
86,86,3.27048337515e+11
87,87,3.28465379349e+11
88,88,3.29951252475e+11
89,89,3.30070430019e+11
90,90,3.29782256151e+11
91,91,3.29616851856e+11
92,92,3.29316608076e+11
93,93,3.32768799566e+11
94,94,3.30411683631e+11
95,95,3.17806423925e+11
96,96,3.16635652665e+11
97,97,3.16707300863e+11
98,98,3.20221776258e+11
99,99,3.18935227674e+11
100,100,3.64706774278e+11
101,101,3.62432215371e+11
102,102,3.62917143008e+11
103,103,3.67700377704e+11
104,104,3.64699428278e+11
105,105,3.50857348175e+11
106,106,3.33403425889e+11
107,107,3.30711400111e+11
108,108,3.35365966428e+11
109,109,3.38103361966e+11
110,110,3.35604194072e+11
111,111,3.58964980745e+11
112,112,3.63584005682e+11
113,113,3.60759263924e+11
114,114,3.59638516508e+11
115,115,3.63893982572e+11
116,116,3.82346833238e+11
117,117,3.82729546946e+11
118,118,3.83793981518e+11
119,119,3.85402994915e+11
120,120,4.36863227641e+11
121,121,4.80999256703e+11
122,122,4.81326336455e+11
123,123,4.8924935087e+11
124,124,5.06713341274e+11
125,125,5.02914787008e+11
126,126,5.13853177392e+11
127,127,5.22763094098e+11
128,128,5.33846527012e+11
129,129,5.26106778507e+11
130,130,5.05751327854e+11
131,131,4.87531022159e+11
132,132,4.74161358235e+11
133,133,4.64454519635e+11
134,134,4.73336676524e+11
135,135,4.79707674424e+11
136,136,5.02072922103e+11
137,137,4.9806027317e+11
138,138,4.29433414786e+11
139,139,4.21586044841e+11
140,140,4.00498075755e+11
141,141,4.09987217007e+11
142,142,4.00335067934e+11
143,143,3.9424650448e+11
144,144,4.04030284191e+11
145,145,3.9146168008e+11
146,146,3.99289579154e+11
147,147,4.14210389352e+11
148,148,4.16716716179e+11
149,149,4.21474658813e+11
150,150,4.16825719921e+11
151,151,4.22955548588e+11
152,152,4.23100673779e+11
153,153,4.12635217995e+11
154,154,2.9322349078e+11
155,155,2.89856279006e+11
156,156,3.35124845968e+11
157,157,3.34380384671e+11
158,158,3.34235940481e+11
159,159,3.38143431475e+11
160,160,3.06746021019e+11
161,161,3.15269049142e+11
162,162,3.16623006001e+11
163,163,3.1789925114e+11
164,164,3.23530203365e+11
165,165,3.39672876034e+11
166,166,3.40169894784e+11
167,167,3.3968915867e+11
168,168,3.69369291553e+11
169,169,3.69850045811e+11
170,170,3.67085048195e+11
171,171,3.67280943749e+11
172,172,3.68407025248e+11
173,173,3.67927661199e+11
174,174,3.6650326475e+11
175,175,3.66676071867e+11
176,176,3.63973139073e+11
177,177,3.4259380885e+11
178,178,3.44241709955e+11
179,179,3.47734452049e+11
180,180,2.88505642971e+11
181,181,2.84962941479e+11
182,182,2.83720387721e+11
183,183,2.84831564595e+11
184,184,2.83463182972e+11
185,185,2.81997714653e+11
186,186,2.80682651754e+11
187,187,2.79554595664e+11
188,188,2.79943024123e+11
189,189,2.78293544357e+11
190,190,2.73172620455e+11
191,191,2.71721051782e+11
192,192,2.68829056994e+11
193,193,2.68919123197e+11
194,194,2.67917873628e+11
195,195,2.69633560817e+11
196,196,2.70579457516e+11
197,197,2.70911107268e+11
198,198,2.75060458684e+11
199,199,2.82043658355e+11
200,200,2.81897502319e+11
201,201,2.84177344213e+11
202,202,2.86174709307e+11
203,203,2.84632868897e+11
204,204,2.82178669865e+11
205,205,2.8560383604e+11
206,206,2.91235908896e+11
207,207,2.88783621948e+11
208,208,2.88307097615e+11
209,209,2.83559202265e+11
210,210,2.75735863608e+11
211,211,2.72744455257e+11
212,212,2.71666894182e+11
213,213,2.70382830722e+11
214,214,2.68099031212e+11
215,215,2.66596480821e+11
216,216,2.64317561798e+11
217,217,2.68744667932e+11
218,218,2.67646783858e+11
219,219,2.6745867805e+11
220,220,2.61389194935e+11
221,221,2.61354372728e+11
222,222,2.60356903767e+11
223,223,2.5954040426e+11
224,224,2.59439128931e+11
225,225,2.59660740191e+11
226,226,2.59810932741e+11
227,227,2.59664008698e+11
228,228,2.60730175798e+11
229,229,2.59180590495e+11
230,230,2.9163162545e+11
